DateOccured,MonthReportedtoMSHP,Count,Crime,District,Neighborhood,XCoord,YCoord,TMAX  ,TMIN  
2012-08-13,2012-09,-1,31421,1,2,0.0,0.0,272.0,189.0
2012-08-13,2012-09,1,266999,1,16,891621.8,1002732.0,272.0,189.0
2012-08-14,2012-09,1,71030,6,74,895194.8,1051075.0,272.0,172.0
2012-08-14,2012-09,1,103000,3,25,0.0,0.0,272.0,172.0
2012-08-14,2012-09,1,266999,1,1,886083.6,989998.9,272.0,172.0
2012-08-14,2012-09,1,71013,7,48,882501.4,1027390.0,272.0,172.0
2012-08-14,2012-09,1,151130,7,52,888876.3,1031676.0,272.0,172.0
2012-08-14,2012-09,1,266999,1,1,888177.8,992117.5,272.0,172.0
2012-08-15,2012-09,-1,31111,4,60,0.0,0.0,333.0,172.0
2012-08-15,2012-09,1,65701,6,74,896706.9,1052559.0,333.0,172.0
2012-08-16,2012-09,1,182400,3,19,896009.6,1004451.0,367.0,211.0
2012-08-16,2012-09,1,264100,7,46,878447.5,1027420.0,367.0,211.0
2012-08-16,2012-09,1,266999,1,16,891398.1,1001808.0,367.0,211.0
2012-08-16,2012-09,1,72113,6,74,898564.8,1045187.0,367.0,211.0
2012-08-17,2012-09,1,266999,9,28,891264.3,1014636.0,278.0,167.0
2012-08-17,2012-09,1,266999,4,61,906919.5,1022348.0,278.0,167.0
2012-08-17,2012-09,1,73413,8,56,897846.9,1030692.0,278.0,167.0
2012-08-17,2012-09,1,266999,6,68,898366.3,1036503.0,278.0,167.0
2012-08-17,2012-09,1,41011,9,59,0.0,0.0,278.0,167.0
2012-08-18,2012-09,1,41011,7,48,881199.8,1028552.0,283.0,161.0
2012-08-18,2012-09,1,41011,7,48,881199.8,1028552.0,283.0,161.0
2012-08-18,2012-09,1,41011,7,48,881199.8,1028552.0,283.0,161.0
2012-08-18,2012-09,1,115500,3,25,893584.8,1005186.0,283.0,161.0
2012-08-18,2012-09,1,51312,7,46,0.0,0.0,283.0,161.0
2012-08-18,2012-09,-1,67601,7,46,0.0,0.0,283.0,161.0
2012-08-18,2012-09,1,266999,4,61,906561.6,1022276.0,283.0,161.0
2012-08-18,2012-09,1,21000,2,13,883004.0,1007084.0,283.0,161.0
2012-08-19,2012-09,1,266999,4,33,904088.2,1013796.0,289.0,178.0
2012-08-19,2012-09,1,67601,2,14,883004.0,1007084.0,289.0,178.0
2012-08-19,2012-09,1,92000,1,4,885008.5,991697.6,289.0,178.0
2012-08-20,2012-09,1,52222,4,35,908455.8,1017646.0,306.0,156.0
2012-08-20,2012-09,1,112010,1,16,893009.6,1002165.0,306.0,156.0
2012-08-20,2012-09,1,69602,3,27,890436.9,1012693.0,306.0,156.0
2012-08-20,2012-09,1,117000,6,69,891947.4,1035826.0,306.0,156.0
2012-08-20,2012-09,-1,72113,1,5,0.0,0.0,306.0,156.0
2012-08-20,2012-09,1,266999,8,57,893536.9,1028555.0,306.0,156.0
2012-08-20,2012-09,1,67701,9,38,890198.6,1022484.0,306.0,156.0
2012-08-20,2012-09,1,266999,1,5,886638.4,997889.8,306.0,156.0
2012-08-20,2012-09,1,264100,1,1,891120.8,995852.8,306.0,156.0
2012-08-20,2012-09,1,266999,1,16,891696.1,997682.1,306.0,156.0
